relative_path	basename	top_folder	extension	size_bytes	modified_date	entity_type	disease	geography	method	surveillance_mode	elimination_phase	diagnostic_test	project_link	phd_article_link	relevance_note	status
Diagnostics/A card-agglutination test with stained trypanosomes (C.A.T.T.) for the serological diagnosis of T.B. gambiense trypanosomiasis.pdf	A card-agglutination test with stained trypanosomes (C.A.T.T.) for the serological diagnosis of T.B. gambiense trypanosomiasis.pdf	Diagnostics	pdf	350240	2024-04-04	Paper	gHAT / HAT			Screening / diagnosis			PhD / sleeping-sickness			to_triage
Diagnostics/A CATT Negative Result after Treatment for Human African Trypanosomiasis Is No Indication for Cure.pdf	A CATT Negative Result after Treatment for Human African Trypanosomiasis Is No Indication for Cure.pdf	Diagnostics	pdf	174374	2024-04-15	Paper	gHAT / HAT	Africa		Screening / diagnosis		CATT	PhD / sleeping-sickness			to_triage
Diagnostics/A Phase III Diagnostic Accuracy Study of a Rapid Diagnostic Test for Diagnosis of Second-Stage Human African Trypanosomiasis in the.pdf	A Phase III Diagnostic Accuracy Study of a Rapid Diagnostic Test for Diagnosis of Second-Stage Human African Trypanosomiasis in the.pdf	Diagnostics	pdf	309137	2022-12-12	Paper	gHAT / HAT	Africa	diagnostic evaluation	Screening / diagnosis			PhD / sleeping-sickness	Article 3: test performance and quality	High relevance to diagnostic performance article	seeded
Diagnostics/Accuracy of individual rapid tests for serodiagnosis of gambiense sleeping sickness in West Africa.pdf	Accuracy of individual rapid tests for serodiagnosis of gambiense sleeping sickness in West Africa.pdf	Diagnostics	pdf	143441	2024-04-15	Paper	gHAT / HAT	West Africa		Screening / diagnosis			PhD / sleeping-sickness			to_triage
Diagnostics/Buscher.zip	Buscher.zip	Diagnostics	zip	4831548	2022-12-21	Paper	gHAT / HAT			Screening / diagnosis			PhD / sleeping-sickness			to_triage
Diagnostics/CATT scale.pdf	CATT scale.pdf	Diagnostics	pdf	125622	2024-06-06	Paper	gHAT / HAT			Screening / diagnosis		CATT	PhD / sleeping-sickness			to_triage
Diagnostics/DevelopmentAndImplementationOfAStrategyForIntensifiedScreeningForgambienseHATinCOngoCentralDRC2020.pdf	DevelopmentAndImplementationOfAStrategyForIntensifiedScreeningForgambienseHATinCOngoCentralDRC2020.pdf	Diagnostics	pdf	3770593	2022-12-16	Paper	gHAT / HAT			Screening / diagnosis			PhD / sleeping-sickness			to_triage
Diagnostics/Diagnosis - the future.pdf	Diagnosis - the future.pdf	Diagnostics	pdf	1132471	2024-03-28	Paper	gHAT / HAT			Screening / diagnosis			PhD / sleeping-sickness			to_triage
Diagnostics/Diagnostic Accuracy and Feasibility of Serological Tests on Filter Paper Samples for Outbreak.pdf	Diagnostic Accuracy and Feasibility of Serological Tests on Filter Paper Samples for Outbreak.pdf	Diagnostics	pdf	522727	2024-03-25	Paper	gHAT / HAT		diagnostic evaluation	Screening / diagnosis			PhD / sleeping-sickness	Article 3: test performance and quality	High relevance to diagnostic performance article	seeded
Diagnostics/Diagnostic Accuracy of Loopamp Trypanosoma brucei Detection Kit for Diagnosis of Human African Trypanosomiasis in Clinical Samples.pdf	Diagnostic Accuracy of Loopamp Trypanosoma brucei Detection Kit for Diagnosis of Human African Trypanosomiasis in Clinical Samples.pdf	Diagnostics	pdf	148589	2024-03-29	Paper	gHAT / HAT	Africa	diagnostic evaluation	Screening / diagnosis		LAMP	PhD / sleeping-sickness	Article 3: test performance and quality	High relevance to diagnostic performance article	seeded
Diagnostics/DiagnosticsExplained.docx	DiagnosticsExplained.docx	Diagnostics	docx	21419	2022-12-21	Paper	gHAT / HAT			Screening / diagnosis			PhD / sleeping-sickness			to_triage
Diagnostics/Feasibility of a dried blood spot strategy for serological screening and surveillance to monitor elimination of Human African Trypanosomiasis in the Democratic.pdf	Feasibility of a dried blood spot strategy for serological screening and surveillance to monitor elimination of Human African Trypanosomiasis in the Democratic.pdf	Diagnostics	pdf	1852718	2023-11-02	Paper	gHAT / HAT	Africa		Screening / diagnosis	Elimination		PhD / sleeping-sickness			to_triage
Diagnostics/HAT_ScoreDePresumptionEnCongo.pdf	HAT_ScoreDePresumptionEnCongo.pdf	Diagnostics	pdf	1298960	2022-12-23	Paper	gHAT / HAT			Screening / diagnosis			PhD / sleeping-sickness			to_triage
Diagnostics/Immune trypanolysis test as a promising bioassay to monitor the elimination of gambiense human African trypanosomiasis.pdf	Immune trypanolysis test as a promising bioassay to monitor the elimination of gambiense human African trypanosomiasis.pdf	Diagnostics	pdf	485792	2025-02-26	Paper	gHAT / HAT	Africa	diagnostic evaluation	Screening / diagnosis	Elimination	Trypanolysis	PhD / sleeping-sickness	Article 3: test performance and quality		seeded
Diagnostics/Innovative digital technologies for quality assurance.pdf	Innovative digital technologies for quality assurance.pdf	Diagnostics	pdf	11055978	2023-11-02	Paper	gHAT / HAT		quality assurance / digital health	Screening / diagnosis			PhD / sleeping-sickness	Article 3: test performance and quality	Supports surveillance quality and digital workflow questions	seeded
