relative_path	basename	top_folder	extension	size_bytes	modified_date	entity_type	disease	geography	method	surveillance_mode	elimination_phase	diagnostic_test	project_link	phd_article_link	relevance_note	status
Diagnostics/A Phase III Diagnostic Accuracy Study of a Rapid Diagnostic Test for Diagnosis of Second-Stage Human African Trypanosomiasis in the.pdf	A Phase III Diagnostic Accuracy Study of a Rapid Diagnostic Test for Diagnosis of Second-Stage Human African Trypanosomiasis in the.pdf	Diagnostics	pdf	309137	2022-12-12	Paper	gHAT / HAT	Africa	diagnostic evaluation	Screening / diagnosis			PhD / sleeping-sickness	Article 3: test performance and quality	High relevance to diagnostic performance article	seeded
Diagnostics/Diagnostic Accuracy and Feasibility of Serological Tests on Filter Paper Samples for Outbreak.pdf	Diagnostic Accuracy and Feasibility of Serological Tests on Filter Paper Samples for Outbreak.pdf	Diagnostics	pdf	522727	2024-03-25	Paper	gHAT / HAT		diagnostic evaluation	Screening / diagnosis			PhD / sleeping-sickness	Article 3: test performance and quality	High relevance to diagnostic performance article	seeded
Diagnostics/Diagnostic Accuracy of Loopamp Trypanosoma brucei Detection Kit for Diagnosis of Human African Trypanosomiasis in Clinical Samples.pdf	Diagnostic Accuracy of Loopamp Trypanosoma brucei Detection Kit for Diagnosis of Human African Trypanosomiasis in Clinical Samples.pdf	Diagnostics	pdf	148589	2024-03-29	Paper	gHAT / HAT	Africa	diagnostic evaluation	Screening / diagnosis		LAMP	PhD / sleeping-sickness	Article 3: test performance and quality	High relevance to diagnostic performance article	seeded
Diagnostics/Immune trypanolysis test as a promising bioassay to monitor the elimination of gambiense human African trypanosomiasis.pdf	Immune trypanolysis test as a promising bioassay to monitor the elimination of gambiense human African trypanosomiasis.pdf	Diagnostics	pdf	485792	2025-02-26	Paper	gHAT / HAT	Africa	diagnostic evaluation	Screening / diagnosis	Elimination	Trypanolysis	PhD / sleeping-sickness	Article 3: test performance and quality		seeded
Diagnostics/Innovative digital technologies for quality assurance.pdf	Innovative digital technologies for quality assurance.pdf	Diagnostics	pdf	11055978	2023-11-02	Paper	gHAT / HAT		quality assurance / digital health	Screening / diagnosis			PhD / sleeping-sickness	Article 3: test performance and quality	Supports surveillance quality and digital workflow questions	seeded
Diagnostics/LAB-03-mAECT-V1.0-2021-11-08.pdf	LAB-03-mAECT-V1.0-2021-11-08.pdf	Diagnostics	pdf	302527	2022-12-08	Paper	gHAT / HAT		diagnostic evaluation	Screening / diagnosis		mAECT	PhD / sleeping-sickness	Article 3: test performance and quality		seeded
Diagnostics/Performance evaluation of a prototype rapid diagnostic test for combined detection of gambiense-human African trypanosomiasis and malaria.pdf	Performance evaluation of a prototype rapid diagnostic test for combined detection of gambiense-human African trypanosomiasis and malaria.pdf	Diagnostics	pdf	9241989	2024-01-22	Paper	gHAT / HAT	Africa	diagnostic evaluation	Screening / diagnosis			PhD / sleeping-sickness	Article 3: test performance and quality	High relevance to diagnostic performance article	seeded
Diagnostics/Performance of clinical signs and symptoms rapid and reference laboratory diagnostic tests.pdf	Performance of clinical signs and symptoms rapid and reference laboratory diagnostic tests.pdf	Diagnostics	pdf	1777524	2023-10-23	Paper	gHAT / HAT		diagnostic evaluation	Screening / diagnosis		Clinical signs	PhD / sleeping-sickness	Article 3: test performance and quality	High relevance to diagnostic performance article	seeded
Diagnostics/Performance of Parasitological and Molecular Techniques for the Diagnosis and Surveillance of Gambiense Sleeping Sickness.pdf	Performance of Parasitological and Molecular Techniques for the Diagnosis and Surveillance of Gambiense Sleeping Sickness.pdf	Diagnostics	pdf	271035	2024-03-31	Paper	gHAT / HAT		diagnostic evaluation	Screening / diagnosis			PhD / sleeping-sickness	Article 3: test performance and quality	High relevance to diagnostic performance article	seeded
Diagnostics/Performance of the SD BIOLINE® HAT rapid test in various diagnostic algorithms for gambiense human African trypanosomiasis in the Democratic Republic of the Congo.pdf	Performance of the SD BIOLINE® HAT rapid test in various diagnostic algorithms for gambiense human African trypanosomiasis in the Democratic Republic of the Congo.pdf	Diagnostics	pdf	2057078	2024-03-25	Paper	gHAT / HAT	DRC	diagnostic evaluation	Screening / diagnosis		RDT	PhD / sleeping-sickness	Article 3: test performance and quality	High relevance to diagnostic performance article	seeded
Diagnostics/PhaseIII_RDT_CORIS.pdf	PhaseIII_RDT_CORIS.pdf	Diagnostics	pdf	309137	2022-12-12	Paper	gHAT / HAT		diagnostic evaluation	Screening / diagnosis			PhD / sleeping-sickness	Article 3: test performance and quality	High relevance to diagnostic performance article	seeded
Diagnostics/Prospective evaluation of a rapid diagnostic.pdf	Prospective evaluation of a rapid diagnostic.pdf	Diagnostics	pdf	2921106	2024-03-25	Paper	gHAT / HAT		diagnostic evaluation	Screening / diagnosis			PhD / sleeping-sickness	Article 3: test performance and quality		seeded
Diagnostics/qPCR - Specifcity of serological screening tests and reference laboratory tests to diagnose.pdf	qPCR - Specifcity of serological screening tests and reference laboratory tests to diagnose.pdf	Diagnostics	pdf	2336698	2025-02-26	Paper	gHAT / HAT		diagnostic evaluation	Screening / diagnosis		Molecular	PhD / sleeping-sickness	Article 3: test performance and quality		seeded
Diagnostics/Rapid Diagnostic Test for Sleeping Sickness.pdf	Rapid Diagnostic Test for Sleeping Sickness.pdf	Diagnostics	pdf	367710	2024-04-19	Paper	gHAT / HAT		diagnostic evaluation	Screening / diagnosis			PhD / sleeping-sickness	Article 3: test performance and quality		seeded
Diagnostics/Sensitivity and Specificity of a Prototype rapid diagnostic test for the detection of trypanosoma brucei gambiense infection.pdf	Sensitivity and Specificity of a Prototype rapid diagnostic test for the detection of trypanosoma brucei gambiense infection.pdf	Diagnostics	pdf	924467	2024-05-27	Paper	gHAT / HAT		diagnostic evaluation	Screening / diagnosis			PhD / sleeping-sickness	Article 3: test performance and quality	High relevance to diagnostic performance article	seeded
Diagnostics/Sensitivity and specificity of HAT Sero-K-SeT, a rapid diagnostic test for serodiagnosis of sleeping sickness caused by Trypanosoma brucei gambiense - a case-control study.pdf	Sensitivity and specificity of HAT Sero-K-SeT, a rapid diagnostic test for serodiagnosis of sleeping sickness caused by Trypanosoma brucei gambiense - a case-control study.pdf	Diagnostics	pdf	230106	2024-03-25	Paper	gHAT / HAT		diagnostic evaluation	Screening / diagnosis		HAT Sero-K-SeT	PhD / sleeping-sickness	Article 3: test performance and quality	High relevance to diagnostic performance article	seeded
