relative_path	basename	top_folder	extension	size_bytes	modified_date	entity_type	disease	geography	method	surveillance_mode	elimination_phase	diagnostic_test	project_link	phd_article_link	relevance_note	status
Burden/Gambiense Human African Trypanosomiasis Sequelae after Treatment - A Follow-Up Study 12 Years after Treatment.pdf	Gambiense Human African Trypanosomiasis Sequelae after Treatment - A Follow-Up Study 12 Years after Treatment.pdf	Burden	pdf	1766957	2024-03-25	Paper	gHAT / HAT									to_triage
Burden/Human African Trypanosomiasis in a Rural Community, Democratic Republic of Congo.pdf	Human African Trypanosomiasis in a Rural Community, Democratic Republic of Congo.pdf	Burden	pdf	231138	2023-12-20	Paper	gHAT / HAT									to_triage
Burden/Seeing beyond 2020 - an economic evaluation of contemporary and emerging strategies for elimination of Trypanosoma brucei gambiense.pdf	Seeing beyond 2020 - an economic evaluation of contemporary and emerging strategies for elimination of Trypanosoma brucei gambiense.pdf	Burden	pdf	1483551	2023-12-20	Paper	gHAT / HAT									to_triage
Burden/The Burden of Human African Trypanosomiasis.pdf	The Burden of Human African Trypanosomiasis.pdf	Burden	pdf	219044	2023-12-20	Paper	gHAT / HAT									to_triage
Burden/The Natural Progression of Gambiense Sleeping.pdf	The Natural Progression of Gambiense Sleeping.pdf	Burden	pdf	251951	2024-03-25	Paper	gHAT / HAT									to_triage
Clinical & Treatment/2019HATReview-InfectDisClinNAm.pdf	2019HATReview-InfectDisClinNAm.pdf	Clinical & Treatment	pdf	319686	2024-05-30	Paper	gHAT / HAT									to_triage
Clinical & Treatment/2020 fexinidazole WHO guidelines.pdf	2020 fexinidazole WHO guidelines.pdf	Clinical & Treatment	pdf	442677	2023-11-03	Paper	gHAT / HAT									to_triage
Clinical & Treatment/Chemotherapy for second‐stage human African trypanosomiasis - drugs in use.pdf	Chemotherapy for second‐stage human African trypanosomiasis - drugs in use.pdf	Clinical & Treatment	pdf	417237	2024-04-04	Paper	gHAT / HAT									to_triage
Clinical & Treatment/David Wersche 2019.pdf	David Wersche 2019.pdf	Clinical & Treatment	pdf	907471	2022-12-08	Paper	gHAT / HAT									to_triage
Clinical & Treatment/Determination of an Optimal Dosing Regimen for Fexinidazole, a novel oral drug.pdf	Determination of an Optimal Dosing Regimen for Fexinidazole, a novel oral drug.pdf	Clinical & Treatment	pdf	428547	2024-04-09	Paper	gHAT / HAT									to_triage
Clinical & Treatment/Efficacy and safety of acoziborole in patients with human African trypanosomiasis caused by Trypanosoma brucei gambiense - a multicentre, open-label, single-arm, phase 2 3 trial.pdf	Efficacy and safety of acoziborole in patients with human African trypanosomiasis caused by Trypanosoma brucei gambiense - a multicentre, open-label, single-arm, phase 2 3 trial.pdf	Clinical & Treatment	pdf	319122	2024-03-25	Paper	gHAT / HAT									to_triage
Clinical & Treatment/Fexinidazole for Human African Trypanosomiasis, the Fruit of a Successful Public-Private Partnership.pdf	Fexinidazole for Human African Trypanosomiasis, the Fruit of a Successful Public-Private Partnership.pdf	Clinical & Treatment	pdf	3083504	2024-05-31	Paper	gHAT / HAT									to_triage
Clinical & Treatment/Kumeso et al 2022.pdf	Kumeso et al 2022.pdf	Clinical & Treatment	pdf	255286	2023-01-02	Paper	gHAT / HAT									to_triage
Clinical & Treatment/Ligne Directrice Provisoire OMS traitement THA.pdf	Ligne Directrice Provisoire OMS traitement THA.pdf	Clinical & Treatment	pdf	1339941	2022-12-19	Paper	gHAT / HAT									to_triage
Clinical & Treatment/Politique de lutte THA en    RDC_31012016[3108].pdf	Politique de lutte THA en    RDC_31012016[3108].pdf	Clinical & Treatment	pdf	673615	2022-12-19	Paper	gHAT / HAT									to_triage
Clinical & Treatment/Rapport_OMS_THA_2013_Fr.pdf	Rapport_OMS_THA_2013_Fr.pdf	Clinical & Treatment	pdf	4649834	2022-12-19	Paper	gHAT / HAT									to_triage
