Article 1: historical risk mapping and foci	Epidemiology/Human African trypanosomiasis in the Democratic Republic of the Congo - disease distribution and risk/12942_2015_Article_13.pdf
Article 1: historical risk mapping and foci	Epidemiology/Human African trypanosomiasis in the Democratic Republic of the Congo - disease distribution and risk/Attendance rate in HAT active screening activities in the provinces of DRC (period 2000-2012).docx
Article 1: historical risk mapping and foci	Epidemiology/Human African trypanosomiasis in the Democratic Republic of the Congo - disease distribution and risk/HAT control and surveillance in the Provinces of DRC (2000-2012).xlsx
Article 1: historical risk mapping and foci	Epidemiology/Human African trypanosomiasis in the Democratic Republic of the Congo - disease distribution and risk/Human African trypanosomiasis in the Democratic Republic of the Congo disease distribution and risk.pdf
Article 1: historical risk mapping and foci	Epidemiology/Human African trypanosomiasis in the Democratic Republic of the Congo - disease distribution and risk/Progress status of mapping for HAT cases and geographic locations in DRC (period 2000 – 2012), and geographical accuracy of mapped villages.docx
Article 1: historical risk mapping and foci	Epidemiology/Human African trypanosomiasis in the Democratic Republic of the Congo - disease distribution and risk/The distribution of HAT in the DRC and its Provinces (2003-2007 and 2008-2012).docx
Article 1: historical risk mapping and foci	Epidemiology/Human African trypanosomiasis in the Democratic Republic of the Congo - disease distribution and risk/The distribution of HAT in the Provinces of DRC (2000-2012).docx
Article 1: historical risk mapping and foci	Epidemiology/Human African trypanosomiasis in the Democratic Republic of the Congo - disease distribution and risk/The risk of HAT in DRC (2003-2007 and 2008-2012).docx
Article 1: historical risk mapping and foci	Epidemiology/Human African trypanosomiasis in the Democratic Republic of the Congo - disease distribution and risk/The risk of HAT in the provinces of DRC (2003-2007 and 2008-2012).docx
Article 1: historical risk mapping and foci	Methodology/An exploratory GIS-based method to identify and characterize landscape with elevated epi risk.pdf
Article 1: historical risk mapping and foci	Methodology/Bayesian disease mapping - Past, present, and future.pdf
Article 1: historical risk mapping and foci	Methodology/Disease mapping and innovation -  A history from wood-block prints to Web 3.0.pdf
Article 1: historical risk mapping and foci	Methodology/Identification of Chinese plague foci from long-term epi data.pdf
Article 1: historical risk mapping and foci	Statistics & Mathematical Modelling/Identifying regions for enhanced control of gambiense sleeping sickness in the Democratic Republic of Congo.pdf
Article 1: historical risk mapping and foci	WHO Atlas/2018 - Area at risk of gambiense and rhodesiense HAT.docx
Article 1: historical risk mapping and foci	WHO Atlas/2018 - People at risk of HAT that are potentially covered by facilities with diagnostic and treatment capabilities for HAT.docx
Article 1: historical risk mapping and foci	WHO Atlas/2018 - Population at risk of gambiense and rhodesiense HAT.docx
Article 1: historical risk mapping and foci	WHO Atlas/Estimating and Mapping the Population at Risk of.pdf
Article 1: historical risk mapping and foci	WHO Atlas/Mapping the capacities of fixed health facilities to.pdf
